id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,cancellation_policy,amenities
13083342,Centrally Located Boston Townhome,48366914,Rana,,Charlestown,42.38189203,-71.06485197,Entire home/apt,6,2.5,3,3,250,1000,150.00,1,0,,,1,14,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
14858782,Comfortable room near Subway 14-2c,38092410,Ketai,,Charlestown,42.38453397,-71.07807748,Private room,1,1,1,1,50,,,1,0,,,3,340,flexible,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials,Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
13032590,3 bedroom apartment next to T stop,21745230,Jurek,,Charlestown,42.38269276,-71.07809994,Entire home/apt,6,1,3,3,195,,35.00,1,18,9/3/16,7.4,4,322,flexible,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Suitable for Events"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}"
2660908,$99 Historic Charm Walk to Subway,3594203,Shawn,,Charlestown,42.38226806,-71.06583594,Entire home/apt,4,1,1,1,99,,99.00,1,15,8/19/14,0.55,8,1,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}"
14292385,charlestown room,6212219,Lynn,,Charlestown,42.37396961,-71.05828504,Private room,2,1,1,1,92,,,1,0,,,1,350,flexible,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_50""}"
2167993,Boston Waterfront Navy Yard Condo,317841,Nitzan,,Charlestown,42.37638503,-71.05136255,Entire home/apt,2,1,1,1,149,,100.00,1,56,9/5/16,1.76,1,329,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
13063952,3 min to T stop-Boston/Somervillle,21745230,Jurek,,Charlestown,42.38270478,-71.07877178,Private room,2,1,1,1,55,,35.00,1,3,8/16/16,1.41,4,192,flexible,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}"
6378076,Cozy 1 Bed in Historic Charlestown,15020804,Cory,,Charlestown,42.38041052,-71.06245272,Entire home/apt,3,1,1,1,180,,85.00,1,23,8/28/16,1.53,1,246,strict,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}"
8189821,Extra Bedroom in Charlestown Apt,7723209,Taylor,,Charlestown,42.37588283,-71.05973715,Private room,2,1,1,1,200,,,1,2,10/16/15,0.17,1,0,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",""Buzzer/Wireless Intercom"",""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Shampoo}"
14191723,Feel right at home! 1BR w/ Private Deck-Close to T,30238002,Robert,,Charlestown,42.3790886,-71.06301538,Entire home/apt,3,1,1,1,195,,25.00,1,0,,,1,42,flexible,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",""Laptop Friendly Workspace""}"
5076880,Spacious 2 bedroom in Historical Charlestown,23850983,Janel,,Charlestown,42.37350982,-71.06314575,Entire home/apt,3,1,2,2,225,,100.00,1,20,8/31/16,1.09,1,339,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}"
12356962,Upscale 1 bedroom Apartment,49420192,Jon,,Charlestown,42.38302343,-71.07122357,Entire home/apt,4,1,1,1,275,,,1,15,8/10/16,3.13,1,340,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
12372052,3 min to subway T stop-Orange Line,21745230,Jurek,,Charlestown,42.38323056,-71.07732678,Entire home/apt,4,1,2,2,150,,35.00,1,4,8/17/16,1.79,4,231,flexible,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
13830152,Room in a house 3 min to T stop-10 min to downtown,21745230,Jurek,,Charlestown,42.38390708,-71.07878596,Private room,2,1,1,1,80,,25.00,1,5,9/6/16,5,4,242,flexible,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers}"
14632658,Townhouse in the Town Bedroom #1,20733420,Roger,,Charlestown,42.38344851,-71.06511108,Private room,2,1.5,1,1,160,,,1,0,,,2,78,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}"
7472068,Beautiful Bunker Hill 2 BD,38188681,Melissa,,Charlestown,42.37824827,-71.06198814,Entire home/apt,8,1,2,4,299,3000,120.00,1,27,8/22/16,2.04,1,343,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}"
7053454,Basement apartment in Charlestown,36992931,Ryan,,Charlestown,42.38005488,-71.06324105,Private room,2,1,1,1,200,,,1,8,7/29/16,0.57,1,308,flexible,"{""Family/Kid Friendly""}"
9644312,Great Apt in historic Beacon Hill,45038647,Thomas,,West End,42.36129982,-71.0716176,Private room,2,1,1,1,95,,20.00,1,0,,,1,0,flexible,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
11967208,1BR West End Apt. near Restaurants,42573767,Trevor,,West End,42.36169551,-71.06575767,Entire home/apt,10,2.5,3,3,450,,100.00,1,0,,,1,0,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
