Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],Long Name,Income Group,Region
Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,663.727,737.067,799.406,..,..,..,Republic of Rwanda,Low income,Sub-Saharan Africa
Saudi Arabia,SAU,CO2 emissions (kt),EN.ATM.CO2E.KT,500728.85,565997.783,541428.883,..,..,..,Kingdom of Saudi Arabia,High income,Middle East & North Africa
Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,15658.09,14660.666,15445.404,..,..,..,Republic of the Sudan,Lower middle income,Sub-Saharan Africa
Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,8368.094,7913.386,8423.099,..,..,..,Republic of Senegal,Low income,Sub-Saharan Africa
Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,38327.484,54627.299,50556.929,..,..,..,Republic of Singapore,High income,East Asia & Pacific
Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,198.018,198.018,198.018,..,..,..,Solomon Islands,Lower middle income,East Asia & Pacific
Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,898.415,1030.427,1191.775,..,..,..,Republic of Sierra Leone,Low income,Sub-Saharan Africa
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,6648.271,7198.321,6358.578,..,..,..,Republic of El Salvador,Lower middle income,Latin America & Caribbean
San Marino,SMR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Republic of San Marino,High income,Europe & Central Asia
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,575.719,638.058,623.39,..,..,..,Somali Democratic Republic,Low income,Sub-Saharan Africa
Serbia,SRB,CO2 emissions (kt),EN.ATM.CO2E.KT,49192.805,44062.672,44869.412,..,..,..,Republic of Serbia,Upper middle income,Europe & Central Asia
South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,..,1331.121,1448.465,..,..,..,Republic of South Sudan,Low income,Sub-Saharan Africa
Sao Tome and Principe,STP,CO2 emissions (kt),EN.ATM.CO2E.KT,102.676,113.677,113.677,..,..,..,Democratic Republic of S‹o Tom_ and Principe,Lower middle income,Sub-Saharan Africa
Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,2170.864,2508.228,2101.191,..,..,..,Republic of Suriname,Upper middle income,Latin America & Caribbean
Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,34524.805,32764.645,33677.728,..,..,..,Slovak Republic,High income,Europe & Central Asia
Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,15192.381,14928.357,14440.646,..,..,..,Republic of Slovenia,High income,Europe & Central Asia
Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,51734.036,47047.61,44326.696,..,..,..,Kingdom of Sweden,High income,Europe & Central Asia
Swaziland,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,1048.762,1206.443,1089.099,..,..,..,Kingdom of Swaziland,Lower middle income,Sub-Saharan Africa
Sint Maarten (Dutch part),SXM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,744.401,762.736,..,..,..,Sint Maarten (Dutch part),High income,Latin America & Caribbean
Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,597.721,704.064,645.392,..,..,..,Republic of Seychelles,High income,Sub-Saharan Africa
Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,56908.173,43820.65,36064.945,..,..,..,Syrian Arab Republic,Lower middle income,Middle East & North Africa
Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,190.684,198.018,198.018,..,..,..,Turks and Caicos Islands,High income,Latin America & Caribbean
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,539.049,542.716,608.722,..,..,..,Republic of Chad,Low income,Sub-Saharan Africa
Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,2409.219,2163.53,2229.536,..,..,..,Republic of Togo,Low income,Sub-Saharan Africa
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,290342.059,305222.745,303117.887,..,..,..,Kingdom of Thailand,Upper middle income,East Asia & Pacific
Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,2350.547,3054.611,3586.326,..,..,..,Republic of Tajikistan,Lower middle income,Europe & Central Asia
Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,62592.023,64993.908,66893.414,..,..,..,Turkmenistan,Upper middle income,Europe & Central Asia
Timor-Leste,TMP,CO2 emissions (kt),EN.ATM.CO2E.KT,245.689,293.36,440.04,..,..,..,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific
Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,102.676,179.683,209.019,..,..,..,Kingdom of Tonga,Lower middle income,East Asia & Pacific
Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,46900.93,45371.791,46541.564,..,..,..,Republic of Trinidad and Tobago,High income,Latin America & Caribbean
Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,26021.032,27003.788,27667.515,..,..,..,Republic of Tunisia,Lower middle income,Middle East & North Africa
Turkey,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,320840.498,329560.624,323451.402,..,..,..,Republic of Turkey,Upper middle income,Europe & Central Asia
Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Tuvalu,Upper middle income,East Asia & Pacific
Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,8093.069,9545.201,10751.644,..,..,..,United Republic of Tanzania,Low income,Sub-Saharan Africa
Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,4264.721,4085.038,4895.445,..,..,..,Republic of Uganda,Low income,Sub-Saharan Africa
Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,286444.038,295772.886,271101.31,..,..,..,Ukraine,Lower middle income,Europe & Central Asia
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,7763.039,8694.457,7605.358,..,..,..,Oriental Republic of Uruguay,High income,Latin America & Caribbean
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5305279.921,5115806.031,5186168.427,..,..,..,United States of America,High income,North America
Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,113684.334,115814.861,103226.05,..,..,..,Republic of Uzbekistan,Lower middle income,Europe & Central Asia
St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,198.018,253.023,209.019,..,..,..,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean
"Venezuela, RB",VEN,CO2 emissions (kt),EN.ATM.CO2E.KT,178806.587,198641.39,185531.865,..,..,..,Repœblica Bolivariana de Venezuela,Upper middle income,Latin America & Caribbean
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,176.016,176.016,176.016,..,..,..,British Virgin Islands,High income,Latin America & Caribbean
Virgin Islands (U.S.),VIR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Virgin Islands of the United States,High income,Latin America & Caribbean
Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,161887.049,158231.05,152624.207,..,..,..,Socialist Republic of Vietnam,Lower middle income,East Asia & Pacific
Vanuatu,VUT,CO2 emissions (kt),EN.ATM.CO2E.KT,132.012,113.677,106.343,..,..,..,Republic of Vanuatu,Lower middle income,East Asia & Pacific
West Bank and Gaza,WBG,CO2 emissions (kt),EN.ATM.CO2E.KT,2247.871,2200.2,2438.555,..,..,..,West Bank and Gaza,Lower middle income,Middle East & North Africa
Samoa,WSM,CO2 emissions (kt),EN.ATM.CO2E.KT,234.688,253.023,238.355,..,..,..,Samoa,Lower middle income,East Asia & Pacific
"Yemen, Rep.",YEM,CO2 emissions (kt),EN.ATM.CO2E.KT,19666.121,18290.996,25346.304,..,..,..,Republic of Yemen,Lower middle income,Middle East & North Africa
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,475037.848,472071.245,471238.836,..,..,..,Republic of South Africa,Upper middle income,Sub-Saharan Africa
"Congo, Dem. Rep.",ZAR,CO2 emissions (kt),EN.ATM.CO2E.KT,2467.891,2559.566,2779.586,..,..,..,Democratic Republic of the Congo,Low income,Sub-Saharan Africa
Zambia,ZMB,CO2 emissions (kt),EN.ATM.CO2E.KT,2933.6,3479.983,3824.681,..,..,..,Republic of Zambia,Lower middle income,Sub-Saharan Africa
Zimbabwe,ZWE,CO2 emissions (kt),EN.ATM.CO2E.KT,11628.057,12933.509,13780.586,..,..,..,Republic of Zimbabwe,Low income,Sub-Saharan Africa
